epoch,time_s,avg_train_loss,train_acc,train_f1,train_precision,train_recall,avg_val_loss,val_acc,val_f1,val_precision,val_recall,val_mae,val_rmse,val_ccc
44,1.03,1.0882,0.7361,0.6474,0.7132,0.6064,3.8162,0.2970,0.1173,0.1127,0.1378,0.9150,1.0623,-0.0320
45,1.03,0.9632,0.7222,0.6382,0.6725,0.6223,3.4793,0.3564,0.1241,0.1073,0.1496,0.8534,1.0214,0.0538
46,1.01,1.0924,0.7269,0.6256,0.6851,0.5893,3.9537,0.3366,0.1339,0.1343,0.1531,0.9357,1.1103,0.0915
47,0.99,1.1673,0.6806,0.5875,0.6516,0.5536,3.7147,0.3168,0.1000,0.0878,0.1177,0.8847,1.1112,-0.0875
48,0.99,1.0234,0.7037,0.6398,0.6592,0.6389,3.6227,0.2871,0.1289,0.1267,0.1440,0.8649,1.0112,0.0099
49,0.98,0.9632,0.7245,0.6699,0.7004,0.6499,3.6452,0.2772,0.1035,0.0941,0.1275,0.8883,1.0150,0.0079
50,0.99,1.0102,0.7130,0.6379,0.7054,0.6032,3.7124,0.3564,0.1227,0.1061,0.1496,0.8204,1.0528,0.0724
51,0.98,0.9948,0.7245,0.6353,0.6768,0.6075,3.8246,0.2970,0.0989,0.0904,0.1123,0.8758,1.0421,0.0564
52,0.99,1.0375,0.7130,0.6401,0.7246,0.5959,3.8262,0.2970,0.1069,0.0942,0.1334,0.8497,1.0168,0.0045
53,1.01,0.9645,0.7292,0.6274,0.6741,0.6075,3.8904,0.3168,0.1018,0.0893,0.1285,0.8857,1.0360,0.0457
54,1.00,0.9760,0.7361,0.6531,0.7028,0.6303,3.8388,0.2673,0.0990,0.0952,0.1145,0.8472,1.0492,0.0108
55,1.04,0.9746,0.7546,0.6776,0.7558,0.6390,3.7260,0.3465,0.0895,0.0786,0.1046,0.8658,1.0129,-0.0491
56,1.05,0.9723,0.7546,0.6849,0.7323,0.6510,3.6556,0.3366,0.1013,0.0950,0.1172,0.8524,1.0254,0.0676
57,1.03,0.8797,0.7546,0.7022,0.7454,0.6730,3.9629,0.3663,0.0933,0.0816,0.1100,0.8779,1.0502,-0.0840
58,1.00,0.8219,0.7477,0.6935,0.7285,0.6709,3.8598,0.3366,0.1203,0.1153,0.1428,0.8666,1.0222,0.0236
59,0.98,0.8271,0.7685,0.7171,0.7456,0.6948,4.0904,0.2772,0.1031,0.0919,0.1275,0.8873,1.0638,0.0083
60,1.00,0.8467,0.7639,0.7118,0.7802,0.6699,3.8813,0.3069,0.1254,0.1307,0.1381,0.8619,1.0599,0.0039
61,1.45,0.8917,0.7454,0.6966,0.7196,0.6789,4.0028,0.3366,0.1168,0.1017,0.1442,0.8955,1.0780,0.0317
62,1.01,0.8423,0.7708,0.7223,0.7256,0.7246,3.8499,0.3960,0.1266,0.1152,0.1603,0.8467,1.0382,0.1387
63,1.01,0.9122,0.7269,0.6492,0.6912,0.6272,3.5517,0.3762,0.1214,0.1178,0.1383,0.8448,1.0549,0.0058
64,1.02,0.9027,0.7338,0.6889,0.7208,0.6667,4.1428,0.3168,0.1311,0.1327,0.1521,0.8514,1.0474,0.0686
65,0.99,0.8703,0.7431,0.7041,0.7479,0.6780,3.8593,0.2970,0.1199,0.1230,0.1364,0.8833,1.0506,-0.0346
66,1.01,0.8016,0.7755,0.7297,0.7555,0.7155,3.7063,0.3267,0.1146,0.1090,0.1248,0.8097,0.9740,0.0450
67,1.03,0.8029,0.7801,0.7235,0.7543,0.7279,3.8266,0.3366,0.0892,0.0805,0.1019,0.8718,1.0379,-0.0336
68,1.03,0.7330,0.7755,0.7423,0.7637,0.7482,3.9659,0.3168,0.0997,0.0872,0.1177,0.8555,1.0253,0.0012
69,1.00,0.7372,0.8009,0.7593,0.7984,0.7404,4.1243,0.2574,0.0747,0.0719,0.0804,0.8903,1.0571,-0.0432
70,1.01,0.6958,0.7894,0.7468,0.7943,0.7148,4.0446,0.3069,0.0836,0.0755,0.0938,0.8724,1.0463,-0.0627
71,0.98,0.7992,0.7778,0.7397,0.7763,0.7124,4.0495,0.3366,0.1651,0.1684,0.1928,0.8778,1.0596,0.1031
72,0.98,0.8305,0.7778,0.7130,0.7425,0.6987,3.8411,0.3663,0.1279,0.1483,0.1400,0.8425,1.0280,-0.0267
73,0.99,0.7761,0.7616,0.7106,0.7324,0.7000,3.7932,0.3168,0.1340,0.1301,0.1638,0.8391,1.0456,0.1921
74,0.97,0.9464,0.7616,0.7319,0.7690,0.7095,4.0003,0.3564,0.1578,0.1591,0.1718,0.8642,1.0962,0.0274
75,0.97,0.7467,0.8056,0.7631,0.7740,0.7552,3.7662,0.3168,0.1103,0.1141,0.1099,0.8412,0.9788,0.1102
76,0.99,0.6941,0.7824,0.7439,0.7611,0.7345,3.7681,0.3366,0.1132,0.1135,0.1153,0.8384,1.0148,0.0930
77,1.00,0.6948,0.8171,0.7920,0.8198,0.7777,4.0794,0.2772,0.0981,0.1163,0.0947,0.8618,1.0582,0.0307
78,1.17,0.6369,0.8218,0.7903,0.8234,0.7648,3.6992,0.3564,0.1562,0.1595,0.1718,0.8273,0.9791,0.1024
79,1.18,0.6904,0.8194,0.7862,0.7815,0.7984,3.8965,0.3564,0.1288,0.1324,0.1296,0.8492,1.0015,0.0168
80,1.16,0.6402,0.7917,0.7594,0.7770,0.7456,4.0994,0.3366,0.1349,0.1377,0.1531,0.8430,1.0195,0.0923
81,1.02,0.6062,0.8310,0.8087,0.7989,0.8206,3.9621,0.3663,0.1299,0.1536,0.1278,0.8209,1.0085,0.0466
82,1.00,0.6791,0.7917,0.7534,0.7655,0.7439,4.0666,0.3762,0.1389,0.1673,0.1408,0.8223,1.0362,0.0311
83,1.01,0.5892,0.8310,0.7967,0.8544,0.7608,3.9907,0.3267,0.0966,0.1009,0.1037,0.8572,1.0023,-0.0035
84,1.00,0.6780,0.8194,0.7960,0.8047,0.7913,4.2505,0.3168,0.1044,0.1122,0.1054,0.8518,1.0195,-0.0016
85,1.03,0.6512,0.8148,0.7819,0.7867,0.7814,4.0415,0.3168,0.1240,0.1285,0.1368,0.8811,1.0314,0.0799
86,1.00,0.5736,0.8171,0.7826,0.7879,0.7798,3.9632,0.3762,0.1532,0.1651,0.1619,0.8522,1.0120,0.1156
87,1.02,0.5371,0.8403,0.8216,0.8167,0.8347,4.0302,0.3564,0.1206,0.1335,0.1207,0.8168,1.0207,0.0822
88,1.55,0.5958,0.8449,0.8231,0.8347,0.8146,4.1221,0.3465,0.1430,0.1495,0.1602,0.8463,1.0294,0.1330
89,1.01,0.6135,0.8356,0.8060,0.8311,0.7968,4.1237,0.3663,0.1123,0.1117,0.1189,0.8707,1.0368,0.0243
90,1.04,0.5702,0.8356,0.8125,0.7961,0.8378,3.9294,0.3663,0.1110,0.1127,0.1189,0.7868,0.9677,0.1123
91,1.06,0.5915,0.8241,0.7926,0.8227,0.7688,4.5226,0.3366,0.1274,0.1273,0.1300,0.8633,1.0538,0.0286
92,1.05,0.5721,0.8403,0.8182,0.8151,0.8221,4.0091,0.3069,0.0955,0.0958,0.0983,0.8166,1.0050,0.1002
93,1.04,0.5147,0.8634,0.8475,0.8727,0.8343,4.3221,0.3366,0.1028,0.0961,0.1122,0.8257,0.9954,0.1319
94,1.03,0.5834,0.8287,0.7977,0.8307,0.7803,4.0078,0.2673,0.0945,0.0995,0.0920,0.8374,0.9808,0.0869
95,1.02,0.4973,0.8611,0.8370,0.8304,0.8463,4.3700,0.3366,0.0998,0.1084,0.1064,0.8087,1.0200,0.1527
96,1.02,0.5513,0.8333,0.8103,0.8309,0.7923,4.2139,0.3663,0.1404,0.1448,0.1484,0.8640,1.0222,0.0562
97,1.03,0.4706,0.8611,0.8542,0.8501,0.8632,4.0228,0.3465,0.1066,0.1119,0.1135,0.8411,1.0024,0.0451
98,1.04,0.4893,0.8403,0.8369,0.8684,0.8128,4.5071,0.3366,0.1218,0.1284,0.1319,0.8488,1.0642,0.0778
99,1.03,0.4884,0.8472,0.8307,0.8495,0.8186,4.3991,0.3267,0.1351,0.1396,0.1440,0.8213,0.9914,0.0890
100,1.05,0.5750,0.8657,0.8537,0.8472,0.8620,4.0609,0.3762,0.1288,0.1433,0.1305,0.8459,1.0064,0.0344
101,1.03,0.4823,0.8403,0.8283,0.8236,0.8339,4.1447,0.3267,0.1258,0.1357,0.1337,0.8163,1.0103,0.0694
102,1.04,0.4766,0.8634,0.8454,0.8624,0.8326,4.1539,0.3267,0.1053,0.0958,0.1301,0.8275,1.0111,0.0998
103,1.06,0.5052,0.8727,0.8484,0.8463,0.8536,4.4940,0.3465,0.1290,0.1313,0.1327,0.9179,1.0565,0.0267
104,1.04,0.5694,0.8495,0.8530,0.8545,0.8561,4.1105,0.3663,0.1112,0.1131,0.1189,0.8867,1.0301,0.0110
105,1.04,0.5488,0.8542,0.8386,0.8433,0.8351,4.3317,0.3267,0.1138,0.1265,0.1184,0.8145,1.0087,0.0917
106,1.06,0.4883,0.8611,0.8570,0.8673,0.8497,4.1560,0.3564,0.1231,0.1305,0.1251,0.8040,0.9721,0.0792
107,1.04,0.4696,0.8449,0.8321,0.8443,0.8222,4.2935,0.3267,0.1118,0.1191,0.1248,0.8371,0.9992,0.0899
108,1.05,0.4903,0.8588,0.8442,0.8417,0.8481,4.2114,0.3465,0.1165,0.1312,0.1180,0.8397,1.0278,0.0477
109,1.04,0.4392,0.8681,0.8552,0.8606,0.8502,4.4481,0.3465,0.1180,0.1279,0.1238,0.8930,1.1149,0.0320
